"",""
"Action","Action"
"Add Email Coupon","Add Email Coupon"
"Add Event Coupon","Add Event Coupon"
"An error occurred while updating the email coupons.","An error occurred while updating the email coupons."
"An error occurred while updating the event coupons.","An error occurred while updating the event coupons."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find email coupon to delete.","Could not find email coupon to delete."
"Could not find event coupon to delete.","Could not find event coupon to delete."
"Coupon Code","Coupon Code"
"Coupon Rule Name","Coupon Rule Name"
"Created at","Created at"
"Customer Name","Customer Name"
"Delete Email Coupon","Delete Email Coupon"
"Delete Event Coupon","Delete Event Coupon"
"Delete","Delete"
"Disabled","Disabled"
"Edit Email Coupon '%s'","Edit Email Coupon '%s'"
"Edit Event Coupon '%s'","Edit Event Coupon '%s'"
"Edit","Edit"
"Email Coupon was saved","Email Coupon was saved"
"Email Coupon was successfully deleted.","Email Coupon was successfully deleted."
"Email Coupon was successfully saved","Email Coupon was successfully saved"
"Email Coupon","Email Coupon"
"Email Coupons","Email Coupons"
"Enabled","Enabled"
"Error saving email coupon","Error saving email coupon"
"Error saving event coupon","Error saving event coupon"
"Event Coupon was saved","Event Coupon was saved"
"Event Coupon was successfully deleted.","Event Coupon was successfully deleted."
"Event Coupon was successfully saved","Event Coupon was successfully saved"
"Event Coupon","Event Coupon"
"Event Coupons","Event Coupons"
"Event name","Event name"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select email coupons to delete.","Please select email coupons to delete."
"Please select email coupons.","Please select email coupons."
"Please select event coupons to delete.","Please select event coupons to delete."
"Please select event coupons.","Please select event coupons."
"Reason","Reason"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Email Coupon","Save Email Coupon"
"Save Event Coupon","Save Event Coupon"
"Status","Status"
"Store views","Store views"
"The email coupons has been deleted.","The email coupons has been deleted."
"The event coupons has been deleted.","The event coupons has been deleted."
"There was a problem saving the email coupon.","There was a problem saving the email coupon."
"There was a problem saving the event coupon.","There was a problem saving the event coupon."
"There was an error deleting email coupon.","There was an error deleting email coupon."
"There was an error deleting email coupons.","There was an error deleting email coupons."
"There was an error deleting event coupon.","There was an error deleting event coupon."
"There was an error deleting event coupons.","There was an error deleting event coupons."
"There was an error updating email coupons.","There was an error updating email coupons."
"There was an error updating event coupons.","There was an error updating event coupons."
"This email coupon no longer exists.","This email coupon no longer exists."
"This event coupon no longer exists.","This event coupon no longer exists."
"Total of %d email coupons were successfully deleted.","Total of %d email coupons were successfully deleted."
"Total of %d email coupons were successfully updated.","Total of %d email coupons were successfully updated."
"Total of %d event coupons were successfully deleted.","Total of %d event coupons were successfully deleted."
"Total of %d event coupons were successfully updated.","Total of %d event coupons were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find email coupon to save.","Unable to find email coupon to save."
"Unable to find event coupon to save.","Unable to find event coupon to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"